property_id,purpose,city,location,beds,baths,area_yard,price,date_added
Property_1336,Sale,Karachi,"Bahria Town - Precinct 31, Bahria Town Karachi",3,3,235 Sq. Yd.,4.5 Crore,2025-04-25
Property_1337,Sale,Karachi,"DHA Phase 8 - Zone A, DHA Phase 8",6,7,666 Sq. Yd.,1.32 Crore,2025-04-25
Property_1338,Sale,Karachi,"Bahria Paradise, Bahria Town Karachi",5,5,500 Sq. Yd.,20 Crore,2025-04-25
Property_1339,Sale,Karachi,"Saadi Town, Scheme 33",6,6,240 Sq. Yd.,4.4 Crore,2025-04-25
Property_1340,Sale,Karachi,"Saadi Town - Block 5, Saadi Town",6,6,240 Sq. Yd.,3.99 Crore,2025-04-25
Property_1341,Sale,Karachi,"Saadi Town, Scheme 33",2,4,120 Sq. Yd.,3.75 Crore,2025-04-25
Property_1342,Sale,Karachi,"Saadi Town, Scheme 33",6,6,240 Sq. Yd.,1.65 Crore,2025-04-25
Property_1343,Sale,Karachi,"DHA Phase 6, DHA Defence",5,6,500 Sq. Yd.,3.99 Crore,2025-04-26
Property_1344,Sale,Karachi,"DHA Phase 4, DHA Defence",4,5,300 Sq. Yd.,14 Crore,2025-04-26
Property_1345,Sale,Karachi,"DHA Phase 4, DHA Defence",4,5,300 Sq. Yd.,6.75 Crore,2025-04-26
Property_1346,Sale,Karachi,"DHA Phase 6, DHA Defence",4,5,250 Sq. Yd.,7.2 Crore,2025-04-26
Property_1347,Sale,Karachi,"DHA Phase 6, DHA Defence",6,7,500 Sq. Yd.,6.7 Crore,2025-04-26
Property_1348,Sale,Karachi,"DHA Phase 5, DHA Defence",5,6,582 Sq. Yd.,13.95 Crore,2025-04-26
Property_1349,Sale,Karachi,"DHA Phase 7, DHA Defence",4,5,300 Sq. Yd.,15 Crore,2025-04-26
Property_1350,Sale,Karachi,"Zohra Nagar, Gulistan-e-Jauhar",4,4,120 Sq. Yd.,7.5 Crore,2025-04-26
Property_1351,Sale,Karachi,"North Nazimabad, Karachi",8,6,"1,000 Sq. Yd.",20 Crore,
Property_1352,Sale,Karachi,"Falcon Complex New Malir, Malir",4,4,350 Sq. Yd.,7.75 Crore,
Property_1353,Sale,Karachi,"North Nazimabad - Block B, North Nazimabad",10,6,500 Sq. Yd.,14 Crore,
Property_1354,Sale,Karachi,"AF Garden, Scheme 33 - Sector 24-A",120 Sq. Yd.,,,2 Crore,
Property_1355,Sale,Karachi,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3,3,125 Sq. Yd.,,
Property_1356,Sale,Karachi,"Sector 32 - Punjabi Saudagar City Phase 1, Scheme 33 - Sector 32",5,6,120 Sq. Yd.,1.6 Crore,
Property_1357,Sale,Karachi,"Sadat-e-Amroha Coop Housing Society, Scheme 33",6,7,240 Sq. Yd.,2.35 Crore,
Property_1358,Sale,Karachi,"Sadat-e-Amroha Coop Housing Society, Scheme 33",8,7,240 Sq. Yd.,4.25 Crore,
Property_1359,Sale,Karachi,"Falcon Complex New Malir, Malir",4,4,350 Sq. Yd.,3.8 Crore,
Property_1360,Sale,Karachi,"DHA Phase 1, DHA Defence",8,7,"1,000 Sq. Yd.",7.75 Crore,
Property_1361,Sale,Karachi,"DHA Phase 5, DHA Defence",6,6,500 Sq. Yd.,12.18 Crore,2025-04-25
Property_1362,Sale,Karachi,"DHA Phase 5, DHA Defence",4,5,500 Sq. Yd.,9 Crore,2025-04-25
Property_1363,Sale,Karachi,"Gulistan-e-Jauhar, Karachi",8,6,400 Sq. Yd.,11 Crore,2025-04-24
Property_1364,Sale,Karachi,"Gulshan-e-Iqbal Town, Karachi",3,3,120 Sq. Yd.,10.5 Crore,2025-04-24
Property_1365,Sale,Karachi,"DHA Phase 7 Extension, DHA Defence",5,5,500 Sq. Yd.,3.7 Crore,2025-04-24
Property_1366,Sale,Karachi,"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar",5,4,400 Sq. Yd.,12 Crore,2025-04-24
Property_1367,Sale,Karachi,"Scheme 33 - Sector 51-A, Scheme 33",6,6,200 Sq. Yd.,3.21 Crore,2025-04-24
Property_1368,Sale,Karachi,"DHA Phase 5, DHA Defence",6,6,500 Sq. Yd.,2.6 Crore,2025-04-26
Property_1369,Sale,Karachi,"DHA Phase 6, DHA Defence",6,6,500 Sq. Yd.,22 Crore,2025-04-26
Property_1370,Sale,Karachi,"DHA Phase 6, DHA Defence",6,7,"1,000 Sq. Yd.",10.75 Crore,2025-04-26
Property_1371,Sale,Karachi,"DHA Phase 8, DHA Defence",6,6,500 Sq. Yd.,15.5 Crore,2025-04-26
Property_1372,Sale,Karachi,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",4,4,120 Sq. Yd.,20 Crore,2025-04-26
Property_1373,Sale,Karachi,"DHA Phase 7, DHA Defence",6,6,500 Sq. Yd.,2.95 Crore,2025-04-26
Property_1374,Sale,Karachi,"DHA Phase 6, DHA Defence",6,6,500 Sq. Yd.,9.75 Crore,2025-04-26
Property_1375,Sale,Karachi,"Chapal Sun City, Scheme 33",4,4,200 Sq. Yd.,14 Crore,2025-04-26
Property_1376,Sale,Karachi,"Bahria Town - Precinct 4, Bahria Town Karachi",6,6,500 Sq. Yd.,5.7 Crore,
Property_1377,Sale,Karachi,"Bahria Town - Precinct 1, Bahria Town Karachi",5,5,272 Sq. Yd.,4.15 Crore,
Property_1378,Sale,Karachi,"PECHS Block 6, PECHS",5,5,250 Sq. Yd.,10.5 Crore,
Property_1379,Sale,Karachi,"Bahria Town - Precinct 6, Bahria Town Karachi",5,5,250 Sq. Yd.,3.15 Crore,
Property_1380,Sale,Karachi,"DHA Phase 8, DHA Defence",6,6,500 Sq. Yd.,,
Property_1381,Sale,Karachi,"Gulshan-e-Maymar - Sector V, Gulshan-e-Maymar",6,6,240 Sq. Yd.,22 Crore,
Property_1382,Sale,Karachi,"Bufferzone - Sector 15-A/2, Buffer Zone",4,4,120 Sq. Yd.,3.8 Crore,
Property_1383,Sale,Karachi,"Falaknaz Dreams, Malir",4,5,120 Sq. Yd.,3.2 Crore,
Property_1384,Sale,Karachi,"Shadman Town - Sector-14/B, Shadman",6,6,120 Sq. Yd.,1.5 Crore,
Property_1385,Sale,Karachi,"Sector 25-A - Punjabi Saudagar Multi Purpose Society, Scheme 33 - Sector 25-A",5,6,265 Sq. Yd.,3.1 Crore,
Property_1386,Sale,Karachi,"Bahria Sports City, Bahria Town Karachi",4,4,350 Sq. Yd.,5.75 Crore,2025-04-25
Property_1387,Sale,Karachi,"Bahria Town - Precinct 31, Bahria Town Karachi",3,3,235 Sq. Yd.,1.72 Crore,2025-04-25
Property_1388,Sale,Karachi,"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar",5,4,223 Sq. Yd.,1.36 Crore,2025-04-24
Property_1389,Sale,Karachi,"Musalmanan-E-Punjab Cooperative Housing Society, Scheme 33 - Sector 20-A",4,6,120 Sq. Yd.,2.18 Crore,2025-04-24
Property_1390,Sale,Karachi,"North Karachi - Sector 8, North Karachi",8,6,120 Sq. Yd.,2 Crore,2025-04-24
Property_1391,Sale,Karachi,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",6,6,120 Sq. Yd.,2.75 Crore,2025-04-24
Property_1392,Sale,Karachi,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",4,5,120 Sq. Yd.,3.8 Crore,2025-04-24
Property_1393,Sale,Karachi,"DHA Phase 7, DHA Defence",6,6,500 Sq. Yd.,2.1 Crore,2025-04-26
Property_1394,Sale,Karachi,"DHA Phase 7, DHA Defence",4,4,250 Sq. Yd.,12 Crore,2025-04-26
Property_1395,Sale,Karachi,"DHA Phase 7, DHA Defence",5,6,300 Sq. Yd.,6.25 Crore,2025-04-26
Property_1396,Sale,Karachi,"DHA Phase 7, DHA Defence",9,6,"1,000 Sq. Yd.",7.75 Crore,2025-04-26
Property_1397,Sale,Karachi,"Gwalior Cooperative Housing Society, Scheme 33",6,6,240 Sq. Yd.,15 Crore,2025-04-26
Property_1398,Sale,Karachi,"DHA Phase 7, DHA Defence",5,5,300 Sq. Yd.,4.8 Crore,2025-04-26
Property_1399,Sale,Karachi,"Chapal Sun City, Scheme 33",150 Sq. Yd.,,,7.75 Crore,2025-04-26
Property_1400,Sale,Karachi,"DHA Phase 8, DHA Defence",6,6,500 Sq. Yd.,2.25 Crore,2025-04-26
Property_1401,Sale,Karachi,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",6,6,240 Sq. Yd.,8.2 Crore,
Property_1402,Sale,Karachi,"DHA Phase 6, DHA Defence",6,6,500 Sq. Yd.,22.99 Crore,
Property_1403,Sale,Karachi,"DHA Phase 6, DHA Defence",5,6,500 Sq. Yd.,10.5 Crore,
Property_1404,Sale,Karachi,"DHA Phase 4, DHA Defence",4,5,300 Sq. Yd.,8.95 Crore,
Property_1405,Sale,Karachi,"Kings Garden, Gulistan-e-Jauhar",4,5,120 Sq. Yd.,,
